id;lenpayload;lsnr;rssi;latitude;longitude;flag
1;10;7.0;-30.0;38,75618;-9,115906;0
2;16;9.25;-32.0;38,756058;-9,115988;0
3;16;9.75;-33.0;38,114864;-8,785441;0
4;10;10.75;-32.0;38,11492;-8,785471;0
5;10;8.75;-33.0;38,11492;-8,785508;0
6;10;7.75;-37.0;38,11488;-8,785479;0
7;10;6.5;-37.0;38,114956;-8,785453;0
8;10;10.25;-35.0;38,114906;-8,785454;0
9;16;9.25;-33.0;38,114906;-8,785434;0
10;16;7.25;-32.0;38,114864;-8,785464;0
11;10;8.75;-35.0;38,1149;-8,785438;0
12;10;7.5;-35.0;38,114895;-8,785444;0
13;10;9.0;-32.0;38,11487;-8,785476;0
14;10;7.25;-35.0;38,114876;-8,785514;0
15;16;9.5;-35.0;38,114883;-8,785558;0
16;16;9.25;-35.0;38,114937;-8,785463;0
17;10;10.5;-35.0;38,11496;-8,785466;0
18;10;9.0;-56.0;38,11501;-8,785349;2
19;16;7.5;-58.0;38,11494;-8,785354;2
20;10;9.5;-62.0;38,11502;-8,785333;2
21;10;9.5;-58.0;38,114986;-8,785311;2
22;10;7.75;-61.0;38,115044;-8,785386;2
23;10;10.25;-62.0;38,11498;-8,785399;2
24;10;9.25;-59.0;38,115025;-8,785321;2
25;16;9.5;-57.0;38,114887;-8,785374;1
26;16;10.25;-59.0;38,114937;-8,785381;1
27;10;8.75;-60.0;38,115;-8,785291;1
28;10;7.5;-59.0;38,114967;-8,785359;2
29;10;9.5;-62.0;38,114998;-8,785314;2
30;10;9.0;-62.0;38,11504;-8,785361;1
31;16;7.75;-48.0;38,11497;-8,785353;2
32;16;7.0;-44.0;38,115;-8,785356;2
33;16;10.25;-47.0;38,114975;-8,785421;2
34;16;10.75;-47.0;38,11495;-8,785418;2
35;16;7.0;-51.0;38,11501;-8,785363;2
36;16;10.25;-48.0;38,115025;-8,785348;2
37;16;10.0;-56.0;38,115017;-8,785344;1
38;10;7.0;-62.0;38,115044;-8,785376;2
39;16;10.0;-55.0;38,115;-8,785379;1
40;10;9.0;-61.0;38,11504;-8,785376;2
41;16;9.0;-54.0;38,75142;-9,228618;0
42;10;7.2;-47.0;38,75142;-9,228618;0
43;10;7.2;-48.0;38,75142;-9,228618;0
44;10;9.5;-45.0;38,75142;-9,228618;0
45;10;9.2;-41.0;38,75142;-9,228618;0
46;10;7.25;-44.0;38,750835;-9,228391;0
47;16;9.8;-49.0;38,75142;-9,228618;0
48;16;9.5;-45.0;38,75142;-9,228618;0
49;10;7.2;-43.0;38,75142;-9,228618;0
50;10;10.0;-38.0;38,751225;-9,228451;0
51;16;9.8;-39.0;38,75142;-9,228618;0
52;10;7.25;-31.0;38,75099;-9,228647;0
53;16;8.8;-35.0;38,75142;-9,228618;0
54;10;10.75;-45.0;38,751163;-9,228556;0
