id, lenpayload,lsnr,rssi, flag
1,10,7.0,-30.0,0
2,16,9.25,-32.0,0
3,16,9.75,-33.0,0
4,10,10.75,-32.0,0
5,10,8.75,-33.0,0
6,10,7.75,-37.0,0
7,10,6.5,-37.0,0
8,10,10.25,-35.0,0
9,16,9.25,-33.0,0
10,16,7.25,-32.0,0
11,10,8.75,-35.0,0
12,10,7.5,-35.0,0
13,10,9.0,-32.0,0
14,10,7.25,-35.0,0
15,16,9.5,-35.0,0
16,16,9.25,-35.0,0
17,10,10.5,-35.0,0
18,10,9.0,-56.0,0
19,16,7.5,-58.0,0
20,10,9.5,-62.0,0
21,10,9.5,-58.0,0
22,10,7.75,-61.0,0
23,10,10.25,-62.0,0
24,10,9.25,-59.0,0
25,16,9.5,-57.0,0
26,16,10.25,-59.0,0
27,10,8.75,-60.0,0
28,10,7.5,-59.0,0
29,10,9.5,-62.0,0
30,10,9.0,-62.0,0
31,16,7.75,-48.0,0
32,16,7.0,-44.0,0
33,16,10.25,-47.0,0
34,16,10.75,-47.0,0
35,16,7.0,-51.0,0
36,16,10.25,-48.0,0
37,16,10.0,-56.0,0
38,10,7.0,-62.0,0
39,16,10.0,-55.0,0
40,10,9.0,-61.0,0
41,16,9.0,-54.0,0
42,10,7.2,-47.0,0
43,10,7.2,-48.0,0
44,10,9.5,-45.0,0
45,10,9.2,-41.0,0
46,10,7.25,-44.0,0
47,16,9.8,-49.0,0
48,16,9.5,-45.0,0
49,10,7.2,-43.0,0
50,10,10.0,-38.0,0
51,16,9.8,-39.0,0
52,10,7.25,-31.0,0
53,16,8.8,-35.0,0
54,10,10.75,-45.0,0
55,10,6.75,-39.0,0
56,10,10.0,-39.0,0
57,10,6.8,-15.0,0
58,10,7.2,-15.0,0
59,16,9.5,-37.0,0
60,16,9.75,-36.0,0
61,10,10.5,-21.0,0
62,10,7.5,-37.0,0
63,10,9.75,-38.0,0
64,10,7.25,-38.0,0
65,10,9.5,-41.0,0
66,10,11.5,-41.0,0
67,10,9.25,-38.0,0
68,10,10.0,-43.0,0
69,10,10.5,-45.0,0
70,10,6.5,-57.0,0
71,16,9.0,-36.0,0
72,16,9.5,-44.0,0
73,16,11.0,-45.0,0
74,16,9.0,-41.0,0
75,16,7.5,-39.0,0
76,16,7.75,-38.0,0
77,16,10.25,-41.0,0
78,16,7.0,-41.0,0
79,16,10.0,-43.0,0
80,16,10.0,-42.0,0
81,16,10.0,-41.0,0
82,16,9.75,-41.0,0
83,16,7.75,-36.0,0
84,10,9.0,-44.0,0
85,10,9.0,-39.0,0
86,10,10.25,-43.0,0
87,10,9.25,-41.0,0
88,10,8.75,-37.0,0
89,10,7.5,-41.0,0
90,10,7.25,-37.0,0
91,10,9.25,-39.0,0
92,10,6.75,-37.0,0
93,10,9.5,-38.0,0
94,10,9.25,-36.0,0
95,10,8.75,-37.0,0
96,10,10.5,-35.0,0
97,16,7.25,-35.0,0
98,10,9.75,-35.0,0
99,10,9.25,-39.0,0
100,10,10.0,-37.0,0
101,16,9.75,-30.0,0
102,10,10.25,-33.0,0
103,10,9.0,-31.0,0
104,16,7.5,-33.0,0
105,10,7.75,-31.0,0
106,10,9.75,-32.0,0
107,16,7.5,-35.0,0
108,10,8.5,-33.0,0
109,10,9.0,-38.0,0
110,16,10.0,-35.0,0
111,10,9.0,-32.0,0
112,10,9.0,-33.0,0
113,10,9.0,-35.0,0
114,10,10.25,-38.0,0
115,10,9.0,-33.0,0
116,16,9.5,-36.0,0
117,10,9.75,-37.0,0
118,10,7.75,-33.0,0
119,16,7.75,-37.0,0
120,10,10.25,-38.0,0
121,10,10.0,-37.0,0
122,10,8.5,-36.0,0
123,10,7.25,-39.0,0
124,16,9.0,-37.0,0
125,10,7.75,-39.0,0
126,10,7.25,-41.0,0
127,16,9.0,-37.0,0
128,10,7.75,-33.0,0
129,10,9.0,-35.0,0
130,16,9.5,-36.0,0
131,10,9.25,-34.0,0
132,10,9.0,-36.0,0
133,16,10.25,-37.0,0
134,10,9.75,-35.0,0
135,10,9.0,-42.0,0
136,10,6.75,-47.0,0
137,10,9.25,-45.0,0
138,16,10.5,-41.0,0
139,10,8.25,-41.0,0
140,10,9.25,-43.0,0
141,16,7.25,-49.0,0
142,10,7.75,-37.0,0
143,10,9.0,-39.0,0
144,10,9.0,-39.0,0
145,10,9.0,-37.0,0
146,10,9.25,-37.0,0
147,10,9.0,-37.0,0
148,10,8.0,-37.0,0
149,10,8.0,-41.0,0
150,10,9.75,-35.0,0
151,10,9.5,-34.0,0
152,10,10.25,-43.0,0
153,10,9.5,-48.0,0
154,16,9.5,-28.0,0
155,10,7.0,-31.0,0
156,16,9.25,-37.0,0
157,10,9.75,-31.0,0
158,16,8.0,-31.0,0
159,10,9.5,-30.0,0
160,16,10.0,-32.0,0
161,10,10.0,-30.0,0
162,16,9.75,-31.0,0
163,10,10.0,-31.0,0
164,16,10.25,-33.0,0
165,10,9.75,-32.0,0
166,16,9.75,-32.0,0
167,10,10.0,-31.0,0
168,16,9.25,-32.0,0
169,10,10.0,-31.0,0
170,16,9.25,-30.0,0
171,16,10.25,-44.0,0
172,10,9.5,-35.0,0
173,16,9.5,-41.0,0
174,10,10.25,-36.0,0
175,16,7.75,-35.0,0
176,10,9.5,-37.0,0
177,16,7.0,-35.0,0
178,10,9.25,-36.0,0
179,16,9.5,-41.0,0
180,10,9.25,-38.0,0
181,16,9.25,-37.0,0
182,10,7.25,-41.0,0
183,16,8.25,-38.0,0
184,10,7.0,-41.0,0
185,16,7.25,-38.0,0
186,16,7.0,-41.0,0
187,10,9.75,-41.0,0
188,10,9.25,-41.0,0
189,16,9.75,-51.0,0
190,10,7.75,-45.0,0
191,10,10.75,-36.0,0
192,10,7.0,-31.0,0
193,10,8.5,-45.0,0
194,10,10.0,-44.0,0
195,10,5.75,-87.0,0
196,10,9.25,-38.0,0
197,16,7.5,-47.0,0
198,16,5.5,-89.0,0
199,16,10.0,-41.0,0
200,10,9.0,-45.0,0
201,10,9.25,-44.0,0
202,10,7.5,-44.0,0
203,10,7.5,-78.0,0
204,16,9.5,-44.0,0
205,16,11.0,-43.0,0
206,16,5.5,-86.0,0
207,10,9.5,-41.0,0
208,10,10.25,-44.0,0
209,10,4.5,-86.0,0
210,16,7.25,-49.0,0
211,16,10.25,-47.0,0
212,16,7.5,-44.0,0
213,10,7.75,-81.0,0
214,10,9.5,-38.0,0
215,10,8.25,-45.0,0
216,10,6.0,-86.0,0
217,10,10.0,-37.0,0
218,10,9.25,-31.0,0
219,10,7.25,-38.0,0
220,16,7.0,-47.0,0
221,10,-1.0,-91.0,0
222,10,10.5,-47.0,0
223,10,5.0,-87.0,0
224,10,8.0,-51.0,0
225,16,9.5,-41.0,0
226,16,8.25,-47.0,0
227,10,9.25,-39.0,0
228,10,7.5,-49.0,0
229,16,5.75,-90.0,0
230,16,9.25,-47.0,0
231,10,9.75,-11.0,0
232,16,10.0,-3.0,0
233,10,9.75,-9.0,0
234,10,8.75,-7.0,0
235,16,10.25,-11.0,0
236,16,10.25,-11.0,0
237,10,6.75,-6.0,0
238,16,9.25,-10.0,0
239,16,9.5,-11.0,0
240,10,7.5,-11.0,0
241,16,10.25,-39.0,0
242,10,8.75,-8.0,0
243,10,9.25,-42.0,0
244,16,9.75,-8.0,0
245,10,9.5,-14.0,0
246,10,6.5,-7.0,0
247,10,9.75,-43.0,0
248,16,9.0,-8.0,0
249,10,9.25,-15.0,0
250,10,10.25,-9.0,0
251,10,10.25,-41.0,0
252,16,9.75,-9.0,0
253,10,6.5,-7.0,0
254,10,10.5,-47.0,0
255,16,9.25,-7.0,0
256,10,9.25,-14.0,0
257,10,7.0,-8.0,0
258,10,9.25,-50.0,0
